#At time x allocated y bytes for process z from i to j
At time 3 allocated 100 bytes for process 1 from 0 to 127
At time 25 freed 100 bytes for process 1 from 0 to 127
At time 25 allocated 160 bytes for process 6 from 0 to 255
At time 30 freed 160 bytes for process 6 from 0 to 255
At time 30 allocated 160 bytes for process 6 from 0 to 255
At time 36 freed 200 bytes for process 2 from 0 to 255
At time 36 allocated 160 bytes for process 6 from 0 to 255
At time 41 freed 150 bytes for process 3 from 0 to 255
At time 41 allocated 160 bytes for process 6 from 0 to 255
At time 61 freed 230 bytes for process 5 from 0 to 255
At time 61 allocated 160 bytes for process 6 from 0 to 255
At time 64 freed 210 bytes for process 4 from 0 to 255
