#At time x allocated y bytes for process z from i to j
At time 10 allocated 112 bytes for process 1 from 0 to 127
At time 27 freed 112 bytes for process 1 from 0 to 127
At time 27 allocated 200 bytes for process 4 from 0 to 255
At time 48 freed 200 bytes for process 4 from 0 to 255
At time 48 allocated 200 bytes for process 4 from 0 to 255
At time 55 freed 250 bytes for process 3 from 0 to 255
At time 55 allocated 200 bytes for process 4 from 0 to 255
At time 83 freed 160 bytes for process 2 from 0 to 255
