#At time x allocated y bytes for process z from i to j
At time 10 allocated 112 bytes for process 1 from 0 to 127
At time 15 allocated 160 bytes for process 2 from 256 to 511
At time 20 allocated 250 bytes for process 3 from 512 to 767
At time 30 allocated 200 bytes for process 4 from 768 to 1023
At time 42 freed 250 bytes for process 3 from 512 to 767
At time 59 freed 112 bytes for process 1 from 0 to 127
At time 80 freed 200 bytes for process 4 from 768 to 1023
At time 83 freed 160 bytes for process 2 from 256 to 511
